Model,AUC,Accuracy,Sensitivity,Specificity
Logistic Regression,0.7810578105781057,0.6861924686192469,0.7631578947368421,0.6801968019680197
Random Forest,0.7734943138905073,0.6679345758843667,0.7789473684210526,0.6592865928659286
LightGBM,0.7809768887162555,0.7729174591099277,0.6894736842105263,0.7794177941779418
XGBoost,0.8159901599015991,0.693419551160137,0.8368421052631579,0.6822468224682247
TabICL (Foundation Model),0.8641677995727326,0.7550399391403575,0.8263157894736842,0.7494874948749487
